,GID_1,GID_0,COUNTRY,NAME_1,ENGTYPE_1,HASC_1,ISO_1,radiance,hasNA
0,UZB.1_1,UZB,Uzbekistan,Andijon,Region,UZ.AN,UZ-AN,76753.86,False
1,UZB.2_1,UZB,Uzbekistan,Buxoro,Region,UZ.BU,UZ-BU,487310.66,True
2,UZB.3_1,UZB,Uzbekistan,Farg'ona,Region,UZ.FA,UZ-FA,100208.21,False
3,UZB.4_1,UZB,Uzbekistan,Jizzax,Region,UZ.JI,UZ-JI,243771.72,True
4,UZB.8_1,UZB,Uzbekistan,Namangan,Region,UZ.NG,UZ-NG,108379.76,False
5,UZB.9_1,UZB,Uzbekistan,Navoiy,Region,UZ.NW,UZ-NW,1279778.5,True
6,UZB.5_1,UZB,Uzbekistan,Qaraqalpaqstan,AutononousRegion,UZ.QR,NA,5765113.0,True
7,UZB.6_1,UZB,Uzbekistan,Qashqadaryo,Region,UZ.QA,UZ-QA,346404.16,True
8,UZB.10_1,UZB,Uzbekistan,Samarqand',Region,UZ.SA,NA,178290.48,True
9,UZB.11_1,UZB,Uzbekistan,Sirdaryo,Region,UZ.SI,UZ-SI,65159.95,True
10,UZB.12_1,UZB,Uzbekistan,Surxondaryo,Region,UZ.SU,UZ-SU,238272.73,True
11,UZB.14_1,UZB,Uzbekistan,Toshkent,Region,UZ.TA,UZ-TK,211072.48,False
12,UZB.13_1,UZB,Uzbekistan,ToshkentShahri,City,UZ.TK,NA,10083.492,False
13,UZB.7_1,UZB,Uzbekistan,Xorazm,Region,UZ.KH,UZ-XO,91973.664,True
14,KAZ.1_1,KAZ,Kazakhstan,Almaty,Region,KZ.AA,KZ-ALA,12718141.0,False
15,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Region,KZ.AM,NA,12226884.0,False
16,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Region,KZ.AT,NA,17899558.0,True
17,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Region,KZ.AR,NA,8948846.0,False
18,KAZ.5_1,KAZ,Kazakhstan,EastKazakhstan,Region,KZ.EK,NA,19558692.0,True
19,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Region,KZ.MG,NA,8677804.0,True
20,KAZ.7_1,KAZ,Kazakhstan,NorthKazakhstan,Region,KZ.NK,NA,8620058.0,False
21,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,Region,KZ.PA,NA,10472520.0,False
22,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Region,KZ.QG,NA,27636398.0,True
23,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Region,KZ.QS,NA,16635450.0,True
24,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Region,KZ.QO,NA,3055512.2,True
25,KAZ.12_1,KAZ,Kazakhstan,SouthKazakhstan,Region,KZ.SK,NA,1470714.8,True
26,KAZ.13_1,KAZ,Kazakhstan,WestKazakhstan,Region,KZ.WK,NA,12358959.0,False
27,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Region,KZ.ZM,NA,1901657.1,False
28,KGZ.1_1,KGZ,Kyrgyzstan,Batken,Province,KG.BA,KG-B,191430.86,True
29,KGZ.2_1,KGZ,Kyrgyzstan,Biškek,City,KG.GB,NA,4660.8765,False
30,KGZ.3_1,KGZ,Kyrgyzstan,Chüy,Province,KG.CU,NA,240532.27,False
31,KGZ.4_1,KGZ,Kyrgyzstan,Jalal-Abad,Province,KG.DA,KG-J,395447.47,False
32,KGZ.5_1,KGZ,Kyrgyzstan,Naryn,Province,KG.NA,KG-N,527288.3,False
33,KGZ.7_1,KGZ,Kyrgyzstan,Osh,Province,KG.OS,NA,336114.6,False
34,KGZ.6_1,KGZ,Kyrgyzstan,Osh(city),City,KG.OS,NA,1676.0532,False
35,KGZ.8_1,KGZ,Kyrgyzstan,Talas,Province,KG.TL,KG-T,139002.42,False
36,KGZ.9_1,KGZ,Kyrgyzstan,Ysyk-Köl,Province,KG.YK,NA,514455.6,False
37,TJK.5_1,TJK,Tajikistan,DistrictsofRepublicanSubordin,DistrictsofRepublicanSubordin,TJ.RR,NA,341047.4,True
38,TJK.1_1,TJK,Tajikistan,Dushanbe,City,TJ.DU,TJ-DU,2436.0107,False
39,TJK.2_1,TJK,Tajikistan,Gorno-Badakhshan,AutonomousRegion,TJ.BK,NA,713199.8,False
40,TJK.3_1,TJK,Tajikistan,Khatlon,Region,TJ.KL,TJ-KT,288642.97,True
41,TJK.4_1,TJK,Tajikistan,Sughd,Region,TJ.LE,TJ-SU,313654.2,True
42,TKM.1_1,TKM,Turkmenistan,Ahal,Province,TM.AL,TM-A,866561.9,True
43,TKM.2_1,TKM,Turkmenistan,Aşgabat,CaptialCityDistrict,TM.AB,NA,25020.219,False
44,TKM.3_1,TKM,Turkmenistan,Balkan,Province,TM.BA,TM-B,1304699.9,True
45,TKM.6_1,TKM,Turkmenistan,Daşoguz,Province,TM.DA,NA,1381990.9,True
46,TKM.4_1,TKM,Turkmenistan,Lebap,Province,TM.LE,TM-L,1087315.6,True
47,TKM.5_1,TKM,Turkmenistan,Mary,Province,TM.MA,TM-M,899870.75,True
