,GID_1,GID_0,COUNTRY,NAME_1,ENGTYPE_1,HASC_1,ISO_1,radiance,hasNA
0,UZB.1_1,UZB,Uzbekistan,Andijon,Region,UZ.AN,UZ-AN,80954.914,False
1,UZB.2_1,UZB,Uzbekistan,Buxoro,Region,UZ.BU,UZ-BU,483843.3,True
2,UZB.3_1,UZB,Uzbekistan,Farg'ona,Region,UZ.FA,UZ-FA,105637.64,False
3,UZB.4_1,UZB,Uzbekistan,Jizzax,Region,UZ.JI,UZ-JI,233577.44,True
4,UZB.8_1,UZB,Uzbekistan,Namangan,Region,UZ.NG,UZ-NG,106595.15,False
5,UZB.9_1,UZB,Uzbekistan,Navoiy,Region,UZ.NW,UZ-NW,1252189.6,True
6,UZB.5_1,UZB,Uzbekistan,Qaraqalpaqstan,AutononousRegion,UZ.QR,NA,7880019.0,True
7,UZB.6_1,UZB,Uzbekistan,Qashqadaryo,Region,UZ.QA,UZ-QA,366401.3,True
8,UZB.10_1,UZB,Uzbekistan,Samarqand',Region,UZ.SA,NA,183494.78,True
9,UZB.11_1,UZB,Uzbekistan,Sirdaryo,Region,UZ.SI,UZ-SI,68044.75,True
10,UZB.12_1,UZB,Uzbekistan,Surxondaryo,Region,UZ.SU,UZ-SU,214922.62,True
11,UZB.14_1,UZB,Uzbekistan,Toshkent,Region,UZ.TA,UZ-TK,206900.12,True
12,UZB.13_1,UZB,Uzbekistan,ToshkentShahri,City,UZ.TK,NA,10419.273,False
13,UZB.7_1,UZB,Uzbekistan,Xorazm,Region,UZ.KH,UZ-XO,98902.81,True
14,KAZ.1_1,KAZ,Kazakhstan,Almaty,Region,KZ.AA,KZ-ALA,12234673.0,True
15,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Region,KZ.AM,NA,12226884.0,False
16,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Region,KZ.AT,NA,22525838.0,True
17,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Region,KZ.AR,NA,8948846.0,False
18,KAZ.5_1,KAZ,Kazakhstan,EastKazakhstan,Region,KZ.EK,NA,21828908.0,True
19,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Region,KZ.MG,NA,8012262.0,True
20,KAZ.7_1,KAZ,Kazakhstan,NorthKazakhstan,Region,KZ.NK,NA,8620058.0,False
21,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,Region,KZ.PA,NA,10472520.0,False
22,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Region,KZ.QG,NA,29865022.0,True
23,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Region,KZ.QS,NA,16661296.0,False
24,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Region,KZ.QO,NA,3622350.2,True
25,KAZ.12_1,KAZ,Kazakhstan,SouthKazakhstan,Region,KZ.SK,NA,1307788.6,True
26,KAZ.13_1,KAZ,Kazakhstan,WestKazakhstan,Region,KZ.WK,NA,12358959.0,False
27,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Region,KZ.ZM,NA,1894982.8,True
28,KGZ.1_1,KGZ,Kyrgyzstan,Batken,Province,KG.BA,KG-B,174632.22,True
29,KGZ.2_1,KGZ,Kyrgyzstan,Biškek,City,KG.GB,NA,5376.513,False
30,KGZ.3_1,KGZ,Kyrgyzstan,Chüy,Province,KG.CU,NA,215601.73,True
31,KGZ.4_1,KGZ,Kyrgyzstan,Jalal-Abad,Province,KG.DA,KG-J,351902.12,True
32,KGZ.5_1,KGZ,Kyrgyzstan,Naryn,Province,KG.NA,KG-N,432706.56,True
33,KGZ.7_1,KGZ,Kyrgyzstan,Osh,Province,KG.OS,NA,298350.66,True
34,KGZ.6_1,KGZ,Kyrgyzstan,Osh(city),City,KG.OS,NA,1689.1636,False
35,KGZ.8_1,KGZ,Kyrgyzstan,Talas,Province,KG.TL,KG-T,124327.0,True
36,KGZ.9_1,KGZ,Kyrgyzstan,Ysyk-Köl,Province,KG.YK,NA,405872.78,True
37,TJK.5_1,TJK,Tajikistan,DistrictsofRepublicanSubordin,DistrictsofRepublicanSubordin,TJ.RR,NA,283860.9,True
38,TJK.1_1,TJK,Tajikistan,Dushanbe,City,TJ.DU,TJ-DU,4549.4233,False
39,TJK.2_1,TJK,Tajikistan,Gorno-Badakhshan,AutonomousRegion,TJ.BK,NA,637530.06,True
40,TJK.3_1,TJK,Tajikistan,Khatlon,Region,TJ.KL,TJ-KT,246591.48,True
41,TJK.4_1,TJK,Tajikistan,Sughd,Region,TJ.LE,TJ-SU,277150.78,True
42,TKM.1_1,TKM,Turkmenistan,Ahal,Province,TM.AL,TM-A,1034544.9,True
43,TKM.2_1,TKM,Turkmenistan,Aşgabat,CaptialCityDistrict,TM.AB,NA,18517.113,False
44,TKM.3_1,TKM,Turkmenistan,Balkan,Province,TM.BA,TM-B,1387891.0,True
45,TKM.6_1,TKM,Turkmenistan,Daşoguz,Province,TM.DA,NA,2004687.4,True
46,TKM.4_1,TKM,Turkmenistan,Lebap,Province,TM.LE,TM-L,1109086.6,True
47,TKM.5_1,TKM,Turkmenistan,Mary,Province,TM.MA,TM-M,991951.5,True
