,GID_1,GID_0,COUNTRY,NAME_1,ENGTYPE_1,HASC_1,ISO_1,radiance,hasNA
0,UZB.1_1,UZB,Uzbekistan,Andijon,Region,UZ.AN,UZ-AN,74422.79,False
1,UZB.2_1,UZB,Uzbekistan,Buxoro,Region,UZ.BU,UZ-BU,456246.34,False
2,UZB.3_1,UZB,Uzbekistan,Farg'ona,Region,UZ.FA,UZ-FA,100584.5,False
3,UZB.4_1,UZB,Uzbekistan,Jizzax,Region,UZ.JI,UZ-JI,253326.7,False
4,UZB.8_1,UZB,Uzbekistan,Namangan,Region,UZ.NG,UZ-NG,103265.57,True
5,UZB.9_1,UZB,Uzbekistan,Navoiy,Region,UZ.NW,UZ-NW,1237061.8,True
6,UZB.5_1,UZB,Uzbekistan,Qaraqalpaqstan,AutononousRegion,UZ.QR,NA,1915834.2,True
7,UZB.6_1,UZB,Uzbekistan,Qashqadaryo,Region,UZ.QA,UZ-QA,339939.1,True
8,UZB.10_1,UZB,Uzbekistan,Samarqand',Region,UZ.SA,NA,179075.17,False
9,UZB.11_1,UZB,Uzbekistan,Sirdaryo,Region,UZ.SI,UZ-SI,70632.71,False
10,UZB.12_1,UZB,Uzbekistan,Surxondaryo,Region,UZ.SU,UZ-SU,221004.9,False
11,UZB.14_1,UZB,Uzbekistan,Toshkent,Region,UZ.TA,UZ-TK,210714.0,True
12,UZB.13_1,UZB,Uzbekistan,ToshkentShahri,City,UZ.TK,NA,10074.341,False
13,UZB.7_1,UZB,Uzbekistan,Xorazm,Region,UZ.KH,UZ-XO,87917.92,False
14,KAZ.1_1,KAZ,Kazakhstan,Almaty,Region,KZ.AA,KZ-ALA,2520389.5,True
15,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Region,KZ.AM,NA,8272870.5,True
16,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Region,KZ.AT,NA,3562725.5,True
17,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Region,KZ.AR,NA,1508625.6,True
18,KAZ.5_1,KAZ,Kazakhstan,EastKazakhstan,Region,KZ.EK,NA,3148620.5,True
19,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Region,KZ.MG,NA,2067560.5,True
20,KAZ.7_1,KAZ,Kazakhstan,NorthKazakhstan,Region,KZ.NK,NA,6926271.0,True
21,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,Region,KZ.PA,NA,1643113.4,True
22,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Region,KZ.QG,NA,5640979.0,True
23,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Region,KZ.QS,NA,7946051.5,True
24,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Region,KZ.QO,NA,2401081.0,True
25,KAZ.12_1,KAZ,Kazakhstan,SouthKazakhstan,Region,KZ.SK,NA,1304487.9,True
26,KAZ.13_1,KAZ,Kazakhstan,WestKazakhstan,Region,KZ.WK,NA,2002923.6,True
27,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Region,KZ.ZM,NA,1550886.8,True
28,KGZ.1_1,KGZ,Kyrgyzstan,Batken,Province,KG.BA,KG-B,196922.7,True
29,KGZ.2_1,KGZ,Kyrgyzstan,Biškek,City,KG.GB,NA,4801.396,False
30,KGZ.3_1,KGZ,Kyrgyzstan,Chüy,Province,KG.CU,NA,240795.33,True
31,KGZ.4_1,KGZ,Kyrgyzstan,Jalal-Abad,Province,KG.DA,KG-J,385205.84,True
32,KGZ.5_1,KGZ,Kyrgyzstan,Naryn,Province,KG.NA,KG-N,534642.9,True
33,KGZ.7_1,KGZ,Kyrgyzstan,Osh,Province,KG.OS,NA,345059.7,True
34,KGZ.6_1,KGZ,Kyrgyzstan,Osh(city),City,KG.OS,NA,1626.8846,False
35,KGZ.8_1,KGZ,Kyrgyzstan,Talas,Province,KG.TL,KG-T,129697.92,True
36,KGZ.9_1,KGZ,Kyrgyzstan,Ysyk-Köl,Province,KG.YK,NA,478544.4,True
37,TJK.5_1,TJK,Tajikistan,DistrictsofRepublicanSubordin,DistrictsofRepublicanSubordin,TJ.RR,NA,324842.5,False
38,TJK.1_1,TJK,Tajikistan,Dushanbe,City,TJ.DU,TJ-DU,4500.531,False
39,TJK.2_1,TJK,Tajikistan,Gorno-Badakhshan,AutonomousRegion,TJ.BK,NA,680878.0,True
40,TJK.3_1,TJK,Tajikistan,Khatlon,Region,TJ.KL,TJ-KT,278041.97,False
41,TJK.4_1,TJK,Tajikistan,Sughd,Region,TJ.LE,TJ-SU,314367.44,False
42,TKM.1_1,TKM,Turkmenistan,Ahal,Province,TM.AL,TM-A,968478.44,False
43,TKM.2_1,TKM,Turkmenistan,Aşgabat,CaptialCityDistrict,TM.AB,NA,23506.115,False
44,TKM.3_1,TKM,Turkmenistan,Balkan,Province,TM.BA,TM-B,1583675.5,True
45,TKM.6_1,TKM,Turkmenistan,Daşoguz,Province,TM.DA,NA,902155.75,False
46,TKM.4_1,TKM,Turkmenistan,Lebap,Province,TM.LE,TM-L,993295.5,False
47,TKM.5_1,TKM,Turkmenistan,Mary,Province,TM.MA,TM-M,830479.8,False
