COUNTRY,NAME_1,HASC_1,radiance_control,radiance_treat,radiance_delta
Uzbekistan,Andijon,UZ.AN,82021.41,74422.79,-9.264190898449574
Uzbekistan,Buxoro,UZ.BU,417085.72,456246.34,9.389105913288054
Uzbekistan,Farg'ona,UZ.FA,99121.04,100584.5,1.4764372932326038
Uzbekistan,Jizzax,UZ.JI,218309.88,253326.7,16.03996117811984
Uzbekistan,Namangan,UZ.NG,106750.055,103265.57,-3.264152884979765
Uzbekistan,Navoiy,UZ.NW,1114750.0,1237061.8,10.972128279883385
Uzbekistan,Qaraqalpaqstan,UZ.QR,1786324.0,1915834.2,7.250095727314863
Uzbekistan,Qashqadaryo,UZ.QA,335811.12,339939.1,1.22925649394814
Uzbekistan,Samarqand',UZ.SA,161983.88,179075.17,10.551228924754739
Uzbekistan,Sirdaryo,UZ.SI,60560.574,70632.71,16.631506828188265
Uzbekistan,Surxondaryo,UZ.SU,207716.19,221004.9,6.397532132666208
Uzbekistan,Toshkent,UZ.TA,192861.86,210714.0,9.256438779549267
Uzbekistan,ToshkentShahri,UZ.TK,9871.329,10074.341,2.0565822494620596
Uzbekistan,Xorazm,UZ.KH,80831.85,87917.92,8.766433033513389
Kazakhstan,Almaty,KZ.AA,3047614.8,2520389.5,-17.299604267573443
Kazakhstan,Aqmola,KZ.AM,12226884.0,8272870.5,-32.33868498302593
Kazakhstan,Aqtöbe,KZ.AT,20945884.0,3562725.5,-82.99080859991395
Kazakhstan,Atyrau,KZ.AR,4180119.0,1508625.6,-63.909505925549006
Kazakhstan,EastKazakhstan,KZ.EK,19634940.0,3148620.5,-83.96419596902257
Kazakhstan,Mangghystau,KZ.MG,1860214.1,2067560.5,11.146372882562277
Kazakhstan,NorthKazakhstan,KZ.NK,8620058.0,6926271.0,-19.649368948561598
Kazakhstan,Pavlodar,KZ.PA,10472520.0,1643113.4,-84.31023860541684
Kazakhstan,Qaraghandy,KZ.QG,30585324.0,5640979.0,-81.55658249688642
Kazakhstan,Qostanay,KZ.QS,16661296.0,7946051.5,-52.308322833950015
Kazakhstan,Qyzylorda,KZ.QO,9474923.0,2401081.0,-74.65856978468321
Kazakhstan,SouthKazakhstan,KZ.SK,4153499.2,1304487.9,-68.5930383711161
Kazakhstan,WestKazakhstan,KZ.WK,12170147.0,2002923.6,-83.54232204426127
Kazakhstan,Zhambyl,KZ.ZM,9202644.0,1550886.8,-83.14737807960408
Kyrgyzstan,Batken,KG.BA,178827.36,196922.7,10.118887848034007
Kyrgyzstan,Biškek,KG.GB,6287.147,4801.396,-23.63156134252945
Kyrgyzstan,Chüy,KG.CU,688046.44,240795.33,-65.00304107379729
Kyrgyzstan,Jalal-Abad,KG.DA,1132197.2,385205.84,-65.97714249779101
Kyrgyzstan,Naryn,KG.NA,621264.8,534642.9,-13.942830818678287
Kyrgyzstan,Osh,KG.OS,362465.62,345059.7,-4.80208854014899
Kyrgyzstan,Osh(city),KG.OS,1677.8901,1626.8846,-3.039859404379344
Kyrgyzstan,Talas,KG.TL,779958.25,129697.92,-83.37117146975494
Kyrgyzstan,Ysyk-Köl,KG.YK,526628.56,478544.4,-9.130564434257046
Tajikistan,DistrictsofRepublicanSubordin,TJ.RR,315121.03,324842.5,3.084995628505013
Tajikistan,Dushanbe,TJ.DU,4469.6743,4500.531,0.6903567895316283
Tajikistan,Gorno-Badakhshan,TJ.BK,690573.3,680878.0,-1.4039494431655621
Tajikistan,Khatlon,TJ.KL,262467.06,278041.97,5.934043685329494
Tajikistan,Sughd,TJ.LE,279614.28,314367.44,12.428964643722763
Turkmenistan,Ahal,TM.AL,1003900.3,968478.44,-3.5284240875314112
Turkmenistan,Aşgabat,TM.AB,24800.605,23506.115,-5.219590409185574
Turkmenistan,Balkan,TM.BA,1519894.2,1583675.5,4.1964302515267216
Turkmenistan,Daşoguz,TM.DA,820849.4,902155.75,9.905148252529633
Turkmenistan,Lebap,TM.LE,973940.6,993295.5,1.9872772528427323
Turkmenistan,Mary,TM.MA,879400.0,830479.8,-5.562906527177615
