COUNTRY,NAME_1,HASC_1,radiance_control,radiance_treat,radiance_delta
Uzbekistan,Andijon,UZ.AN,80954.914,77686.06,-4.037869770326736
Uzbekistan,Buxoro,UZ.BU,483843.3,435153.06,-10.063225015206367
Uzbekistan,Farg'ona,UZ.FA,105637.64,98608.47,-6.654039223140538
Uzbekistan,Jizzax,UZ.JI,233577.44,226288.53,-3.1205539370583066
Uzbekistan,Namangan,UZ.NG,106595.15,107715.45,1.0509859032047921
Uzbekistan,Navoiy,UZ.NW,1252189.6,1174860.2,-6.175534439832445
Uzbekistan,Qaraqalpaqstan,UZ.QR,7880019.0,1784213.8,-77.35774748766468
Uzbekistan,Qashqadaryo,UZ.QA,366401.3,337589.84,-7.863361838508751
Uzbekistan,Samarqand',UZ.SA,183494.78,169425.4,-7.667455172294277
Uzbekistan,Sirdaryo,UZ.SI,68044.75,65076.477,-4.362236616344393
Uzbekistan,Surxondaryo,UZ.SU,214922.62,213936.66,-0.45875115425262913
Uzbekistan,Toshkent,UZ.TA,206900.12,193250.77,-6.597072055830614
Uzbekistan,ToshkentShahri,UZ.TK,10419.273,10237.71,-1.742568795346855
Uzbekistan,Xorazm,UZ.KH,98902.81,91403.016,-7.5829938502252805
Kazakhstan,Almaty,KZ.AA,12234673.0,2258357.0,-81.54133747587696
Kazakhstan,Aqmola,KZ.AM,12226884.0,1758419.4,-85.61841757883693
Kazakhstan,Aqtöbe,KZ.AT,22525838.0,3295487.2,-85.37019044530109
Kazakhstan,Atyrau,KZ.AR,8948846.0,1146847.4,-87.18441014629148
Kazakhstan,EastKazakhstan,KZ.EK,21828908.0,3295147.5,-84.90466174487518
Kazakhstan,Mangghystau,KZ.MG,8012262.0,1599887.6,-80.03201093523901
Kazakhstan,NorthKazakhstan,KZ.NK,8620058.0,1183237.9,-86.27343458709906
Kazakhstan,Pavlodar,KZ.PA,10472520.0,1560349.9,-85.10053072230943
Kazakhstan,Qaraghandy,KZ.QG,29865022.0,4758261.5,-84.06744351301667
Kazakhstan,Qostanay,KZ.QS,16661296.0,2465047.0,-85.20495044323083
Kazakhstan,Qyzylorda,KZ.QO,3622350.2,2518908.2,-30.462046436040335
Kazakhstan,SouthKazakhstan,KZ.SK,1307788.6,1185817.2,-9.326537943517794
Kazakhstan,WestKazakhstan,KZ.WK,12358959.0,1559410.8,-87.38234506644127
Kazakhstan,Zhambyl,KZ.ZM,1894982.8,1434664.4,-24.29142892484302
Kyrgyzstan,Batken,KG.BA,174632.22,164545.45,-5.776007428640597
Kyrgyzstan,Biškek,KG.GB,5376.513,5419.492,0.7993842849445406
Kyrgyzstan,Chüy,KG.CU,215601.73,216365.42,0.35421329875228846
Kyrgyzstan,Jalal-Abad,KG.DA,351902.12,347730.75,-1.1853779113351166
Kyrgyzstan,Naryn,KG.NA,432706.56,455157.94,5.1885924724598596
Kyrgyzstan,Osh,KG.OS,298350.66,310298.88,4.004757354986254
Kyrgyzstan,Osh(city),KG.OS,1689.1636,1672.6276,-0.9789460298576205
Kyrgyzstan,Talas,KG.TL,124327.0,116494.77,-6.299701593378748
Kyrgyzstan,Ysyk-Köl,KG.YK,405872.78,432913.53,6.662370903513165
Tajikistan,DistrictsofRepublicanSubordin,TJ.RR,283860.9,288089.53,1.4896838557194754
Tajikistan,Dushanbe,TJ.DU,4549.4233,4575.6,0.5753850163821859
Tajikistan,Gorno-Badakhshan,TJ.BK,637530.06,640766.1,0.5075901832769926
Tajikistan,Khatlon,TJ.KL,246591.48,251428.66,1.9616168409387027
Tajikistan,Sughd,TJ.LE,277150.78,271092.4,-2.185950910908497
Turkmenistan,Ahal,TM.AL,1034544.9,982050.9,-5.0741151979000625
Turkmenistan,Aşgabat,TM.AB,18517.113,23977.049,29.485892320255306
Turkmenistan,Balkan,TM.BA,1387891.0,1300918.8,-6.266500755462781
Turkmenistan,Daşoguz,TM.DA,2004687.4,832157.1,-58.48943331513931
Turkmenistan,Lebap,TM.LE,1109086.6,1038942.1,-6.324528670709763
Turkmenistan,Mary,TM.MA,991951.5,938729.0,-5.365433693078744
